timestamp,message,logStreamName
1770026167911,"DynamoDB error: An error occurred (ResourceNotFoundException) when calling the PutItem operation: Requested resource not found
",2026/02/02/[$LATEST]b8a949bc104540799929397d3c67943f
1770026167951,"DynamoDB error: An error occurred (ResourceNotFoundException) when calling the PutItem operation: Requested resource not found
",2026/02/02/[$LATEST]b8a949bc104540799929397d3c67943f
1770026167971,"DynamoDB error: An error occurred (ResourceNotFoundException) when calling the PutItem operation: Requested resource not found
",2026/02/02/[$LATEST]b8a949bc104540799929397d3c67943f
1770026167991,"DynamoDB error: An error occurred (ResourceNotFoundException) when calling the PutItem operation: Requested resource not found
",2026/02/02/[$LATEST]b8a949bc104540799929397d3c67943f
1770026168031,"DynamoDB error: An error occurred (ResourceNotFoundException) when calling the PutItem operation: Requested resource not found
",2026/02/02/[$LATEST]b8a949bc104540799929397d3c67943f
1770026168031,"Processing complete: {'processed': 0, 'failed': 9, 'alerts_triggered': 0}
",2026/02/02/[$LATEST]b8a949bc104540799929397d3c67943f
1770026168033,"END RequestId: 98a4b1ad-2a9c-5039-b092-d0575c7e52fa
",2026/02/02/[$LATEST]b8a949bc104540799929397d3c67943f
1770026168033,"REPORT RequestId: 98a4b1ad-2a9c-5039-b092-d0575c7e52fa	Duration: 381.54 ms	Billed Duration: 865 ms	Memory Size: 256 MB	Max Memory Used: 89 MB	Init Duration: 482.71 ms	
",2026/02/02/[$LATEST]b8a949bc104540799929397d3c67943f
1770026187920,"START RequestId: 2ae20ac6-2ca0-55ad-a49c-6b3c5a440f92 Version: $LATEST
",2026/02/02/[$LATEST]b8a949bc104540799929397d3c67943f
1770026187920,"Processing 1 records
",2026/02/02/[$LATEST]b8a949bc104540799929397d3c67943f
1770026187920,"JSON parsing error: Expecting value: line 1 column 1 (char 0)
",2026/02/02/[$LATEST]b8a949bc104540799929397d3c67943f
1770026187920,"Failed to parse message: a5145f34-6f4f-4dd3-9704-fed566c23d0c
",2026/02/02/[$LATEST]b8a949bc104540799929397d3c67943f
1770026187920,"Processing complete: {'processed': 0, 'failed': 1, 'alerts_triggered': 0}
",2026/02/02/[$LATEST]b8a949bc104540799929397d3c67943f
1770026187922,"END RequestId: 2ae20ac6-2ca0-55ad-a49c-6b3c5a440f92
",2026/02/02/[$LATEST]b8a949bc104540799929397d3c67943f
1770026187922,"REPORT RequestId: 2ae20ac6-2ca0-55ad-a49c-6b3c5a440f92	Duration: 2.08 ms	Billed Duration: 3 ms	Memory Size: 256 MB	Max Memory Used: 89 MB	
",2026/02/02/[$LATEST]b8a949bc104540799929397d3c67943f
1770026544049,"START RequestId: 48168a4b-d0ea-5e08-b6b0-ebb1a8b51339 Version: $LATEST
",2026/02/02/[$LATEST]a0793e970f3a477a96f45bef838a661f
1770026544061,"Processing 1 records
",2026/02/02/[$LATEST]a0793e970f3a477a96f45bef838a661f
1770026544222,"DynamoDB error: An error occurred (ResourceNotFoundException) when calling the PutItem operation: Requested resource not found
",2026/02/02/[$LATEST]a0793e970f3a477a96f45bef838a661f
1770026544223,"Processing complete: {'processed': 0, 'failed': 1, 'alerts_triggered': 0}
",2026/02/02/[$LATEST]a0793e970f3a477a96f45bef838a661f
1770026544224,"END RequestId: 48168a4b-d0ea-5e08-b6b0-ebb1a8b51339
",2026/02/02/[$LATEST]a0793e970f3a477a96f45bef838a661f
